Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,104,Myanmar,MMR,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,70768436,,,6
H5,2017,2017,2017,4,0,1,Import,104,Myanmar,MMR,20,Andorra,AND,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,67,,,,5563,,,4
H5,2017,2017,2017,4,0,1,Import,104,Myanmar,MMR,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3,,,,1245,,,4
H5,2017,2017,2017,4,0,1,Import,104,Myanmar,MMR,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,8105,,,4
H5,2017,2017,2017,4,0,1,Import,104,Myanmar,MMR,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,63906560,,,6
H5,2017,2017,2017,4,0,1,Import,104,Myanmar,MMR,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,50,,,,29440,,,4
H5,2017,2017,2017,4,0,1,Import,104,Myanmar,MMR,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,7895,,,,8016,,,4
H5,2017,2017,2017,4,0,1,Import,104,Myanmar,MMR,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,65722,,,4
H5,2017,2017,2017,4,0,1,Import,104,Myanmar,MMR,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,,,180,,,4
H5,2017,2017,2017,4,0,1,Import,104,Myanmar,MMR,348,Hungary,HUN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,60,,,,51,,,4
H5,2017,2017,2017,4,0,1,Import,104,Myanmar,MMR,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3,,,,1364,,,4
H5,2017,2017,2017,4,0,1,Import,104,Myanmar,MMR,392,Japan,JPN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,6024897,,,6
H5,2017,2017,2017,4,0,1,Import,104,Myanmar,MMR,404,Kenya,KEN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,,,264,,,4
H5,2017,2017,2017,4,0,1,Import,104,Myanmar,MMR,410,Rep. of Korea,KOR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2366,,,,26296,,,4
H5,2017,2017,2017,4,0,1,Import,104,Myanmar,MMR,458,Malaysia,MYS,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3152,,,,2013,,,4
H5,2017,2017,2017,4,0,1,Import,104,Myanmar,MMR,484,Mexico,MEX,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,,,429,,,4
H5,2017,2017,2017,4,0,1,Import,104,Myanmar,MMR,490,"Other Asia, nes",,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,87393268,,,,264166,,,4
H5,2017,2017,2017,4,0,1,Import,104,Myanmar,MMR,579,Norway,NOR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,89885,,,,105000,,,6
H5,2017,2017,2017,4,0,1,Import,104,Myanmar,MMR,608,Philippines,PHL,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,6,,6,,50,,,0
H5,2017,2017,2017,4,0,1,Import,104,Myanmar,MMR,620,Portugal,PRT,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3,,,,6489,,,4
