Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,512,Oman,OMN,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,87341,,2906363,,,2
H5,2017,2017,2017,4,0,1,Import,512,Oman,OMN,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,281,,8673,,,2
H5,2017,2017,2017,4,0,1,Import,512,Oman,OMN,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,150,,46187,,,2
H5,2017,2017,2017,4,0,1,Import,512,Oman,OMN,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1734,,56540,,,2
H5,2017,2017,2017,4,0,1,Import,512,Oman,OMN,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,27,,14972,,,2
H5,2017,2017,2017,4,0,1,Import,512,Oman,OMN,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,13,,795,,,2
H5,2017,2017,2017,4,0,1,Import,512,Oman,OMN,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,355,,68699,,,2
H5,2017,2017,2017,4,0,1,Import,512,Oman,OMN,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1201,,210132,,,2
H5,2017,2017,2017,4,0,1,Import,512,Oman,OMN,360,Indonesia,IDN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,10846,,118431,,,2
H5,2017,2017,2017,4,0,1,Import,512,Oman,OMN,372,Ireland,IRL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,50,,3586,,,2
H5,2017,2017,2017,4,0,1,Import,512,Oman,OMN,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1451,,8078,,,2
H5,2017,2017,2017,4,0,1,Import,512,Oman,OMN,392,Japan,JPN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,147,,2465,,,2
H5,2017,2017,2017,4,0,1,Import,512,Oman,OMN,410,Rep. of Korea,KOR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,22,,2587,,,2
H5,2017,2017,2017,4,0,1,Import,512,Oman,OMN,458,Malaysia,MYS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,885,,94491,,,2
H5,2017,2017,2017,4,0,1,Import,512,Oman,OMN,484,Mexico,MEX,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,95,,3992,,,2
