Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,620,Portugal,PRT,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2588551,,760195744,,,6
H5,2017,2017,2017,4,0,1,Import,620,Portugal,PRT,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,17,,3522,,,6
H5,2017,2017,2017,4,0,1,Import,620,Portugal,PRT,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1477,,3607060,,,6
H5,2017,2017,2017,4,0,1,Import,620,Portugal,PRT,48,Bahrain,BHR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,863,,,2
H5,2017,2017,2017,4,0,1,Import,620,Portugal,PRT,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,27344,,5775285,,,6
H5,2017,2017,2017,4,0,1,Import,620,Portugal,PRT,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,9,,1497,,,6
H5,2017,2017,2017,4,0,1,Import,620,Portugal,PRT,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3410,,89961,,,2
H5,2017,2017,2017,4,0,1,Import,620,Portugal,PRT,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,28,,6271,,,6
H5,2017,2017,2017,4,0,1,Import,620,Portugal,PRT,132,Cabo Verde,CPV,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,5,,5,,366,,,0
H5,2017,2017,2017,4,0,1,Import,620,Portugal,PRT,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,9970,,13120786,,,6
H5,2017,2017,2017,4,0,1,Import,620,Portugal,PRT,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,4559,,,2
H5,2017,2017,2017,4,0,1,Import,620,Portugal,PRT,196,Cyprus,CYP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4,,3677,,,2
H5,2017,2017,2017,4,0,1,Import,620,Portugal,PRT,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,22873,,3753902,,,6
H5,2017,2017,2017,4,0,1,Import,620,Portugal,PRT,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,113,,58347,,,6
H5,2017,2017,2017,4,0,1,Import,620,Portugal,PRT,233,Estonia,EST,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,91,,329,,,6
