Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2017,2017,2017,4,0,1,Import,788,Tunisia,TUN,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3483172,,397104897,,,2
H4,2017,2017,2017,4,0,1,Import,788,Tunisia,TUN,12,Algeria,DZA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,10,,9,,374,,,0
H4,2017,2017,2017,4,0,1,Import,788,Tunisia,TUN,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,1,,18,,,0
H4,2017,2017,2017,4,0,1,Import,788,Tunisia,TUN,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1166,,1527175,,,2
H4,2017,2017,2017,4,0,1,Import,788,Tunisia,TUN,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2038,,138541,,,2
H4,2017,2017,2017,4,0,1,Import,788,Tunisia,TUN,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,23,,23,,8152,,,0
H4,2017,2017,2017,4,0,1,Import,788,Tunisia,TUN,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,9,,1417,,,0
H4,2017,2017,2017,4,0,1,Import,788,Tunisia,TUN,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,19,,6048,,,2
H4,2017,2017,2017,4,0,1,Import,788,Tunisia,TUN,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,687457,,58609051,,,2
H4,2017,2017,2017,4,0,1,Import,788,Tunisia,TUN,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,42,,30,,13117,,,0
H4,2017,2017,2017,4,0,1,Import,788,Tunisia,TUN,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1077,,281903,,,2
H4,2017,2017,2017,4,0,1,Import,788,Tunisia,TUN,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1100,,1,,2588,,,0
H4,2017,2017,2017,4,0,1,Import,788,Tunisia,TUN,222,El Salvador,SLV,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,125,,125,,15951,,,0
H4,2017,2017,2017,4,0,1,Import,788,Tunisia,TUN,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4,,2541,,,0
H4,2017,2017,2017,4,0,1,Import,788,Tunisia,TUN,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1476144,,90758062,,,2
H4,2017,2017,2017,4,0,1,Import,788,Tunisia,TUN,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,121385,,11935298,,,2
H4,2017,2017,2017,4,0,1,Import,788,Tunisia,TUN,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,23497,,6394427,,,2
H4,2017,2017,2017,4,0,1,Import,788,Tunisia,TUN,348,Hungary,HUN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,7979,,36,,7648,,,0
H4,2017,2017,2017,4,0,1,Import,788,Tunisia,TUN,352,Iceland,ISL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,481,,366287,,,0
H4,2017,2017,2017,4,0,1,Import,788,Tunisia,TUN,360,Indonesia,IDN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,878,,124430,,,2
H4,2017,2017,2017,4,0,1,Import,788,Tunisia,TUN,372,Ireland,IRL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,254287,,265,,80300,,,2
H4,2017,2017,2017,4,0,1,Import,788,Tunisia,TUN,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,55024,,3221981,,,2
H4,2017,2017,2017,4,0,1,Import,788,Tunisia,TUN,392,Japan,JPN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,17146,,7487250,,,2
H4,2017,2017,2017,4,0,1,Import,788,Tunisia,TUN,408,Dem. People's Rep. of Korea,PRK,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,1,,1,,134,,,0
H4,2017,2017,2017,4,0,1,Import,788,Tunisia,TUN,410,Rep. of Korea,KOR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,9759,,14997754,,,2
H4,2017,2017,2017,4,0,1,Import,788,Tunisia,TUN,434,Libya,LBY,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,111161,,11000,,30319,,,2
H4,2017,2017,2017,4,0,1,Import,788,Tunisia,TUN,458,Malaysia,MYS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,23454,,12214352,,,2
H4,2017,2017,2017,4,0,1,Import,788,Tunisia,TUN,470,Malta,MLT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2540,,1996146,,,2
H4,2017,2017,2017,4,0,1,Import,788,Tunisia,TUN,484,Mexico,MEX,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,734,,164404,,,2
