Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,57156840,,,6
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,16,American Samoa,ASM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,,,2300,,,4
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,28,,4,,4110,,,4
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,141,,,,36475,,,6
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,50,Bangladesh,BGD,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,,,1379,,,4
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,58166,,,6
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,90,Solomon Isds,SLB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,46303,,,6
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,96,Brunei Darussalam,BRN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,,,9416,,,4
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,387814,,,6
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,144,Sri Lanka,LKA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,24869,,,6
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,52463,,,6
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5475,,2459961,,,6
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,184,Cook Isds,COK,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,532,,,,2989,,,4
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,8,,,,5106,,,4
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,19439,,,6
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,218,Ecuador,ECU,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,0,,,,42,,,6
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,242,Fiji,FJI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,66345,,,6
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,5076,,,6
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,796,,297466,,,6
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,258,French Polynesia,PYF,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,7,,,,1979,,,6
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2287,,1318519,,,6
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,288,Ghana,GHA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,18,,20,,17903,,,4
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,296,Kiribati,KIR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3,,,,6671,,,4
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,300,Greece,GRC,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,1,,,,443,,,6
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,316,Guam,GUM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,,,1689,,,4
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,17365,,9259323,,,6
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,360,Indonesia,IDN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2082,,736698,,,6
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,364,Iran,IRN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1000,,,,29208,,,4
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,372,Ireland,IRL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,21571,,,6
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,376,Israel,ISR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,355668,,,6
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,11895,,,6
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,384,Côte d'Ivoire,CIV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,52847,,,6
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,392,Japan,JPN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,798872,,,6
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4326,,2230987,,,6
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,418,Lao People's Dem. Rep.,LAO,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3,,,,2258,,,4
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,446,"China, Macao SAR",MAC,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,347,,,,89384,,,6
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,458,Malaysia,MYS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7379,,3130825,,,6
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,484,Mexico,MEX,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,88145,,,6
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,490,"Other Asia, nes",,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,567,,381126,,,6
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,496,Mongolia,MNG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,124842,,,6
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,504,Morocco,MAR,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,34,,,,9002,,,6
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,512,Oman,OMN,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,25,,,,6519,,,6
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,520,Nauru,NRU,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,49,,,,12871,,,6
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,528,Netherlands,NLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,500920,,,6
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,540,New Caledonia,NCL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,15,,10863,,,6
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,548,Vanuatu,VUT,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,82,,,,21338,,,6
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,554,New Zealand,NZL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,54268,,14517972,,,6
