Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,170,Colombia,COL,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,12018,,1583000,,,0
H5,2017,2017,2017,4,0,2,Export,170,Colombia,COL,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,5,,2,,3163,,,0
H5,2017,2017,2017,4,0,2,Export,170,Colombia,COL,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,264,,18,,9688,,,0
H5,2017,2017,2017,4,0,2,Export,170,Colombia,COL,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,75,,69,,1008,,,0
H5,2017,2017,2017,4,0,2,Export,170,Colombia,COL,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,9,,3910,,,0
H5,2017,2017,2017,4,0,2,Export,170,Colombia,COL,68,Bolivia (Plurinational State of),BOL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,99,,6,,2237,,,0
H5,2017,2017,2017,4,0,2,Export,170,Colombia,COL,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,24641,,47,,47969,,,0
H5,2017,2017,2017,4,0,2,Export,170,Colombia,COL,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,13,,2,,676,,,0
H5,2017,2017,2017,4,0,2,Export,170,Colombia,COL,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,241,,5592,,,0
H5,2017,2017,2017,4,0,2,Export,170,Colombia,COL,214,Dominican Rep.,DOM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,9,,160,,23008,,,0
H5,2017,2017,2017,4,0,2,Export,170,Colombia,COL,218,Ecuador,ECU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3051,,75672,,,0
H5,2017,2017,2017,4,0,2,Export,170,Colombia,COL,222,El Salvador,SLV,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,242,,71,,1836,,,0
H5,2017,2017,2017,4,0,2,Export,170,Colombia,COL,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,9,,19,,12662,,,0
H5,2017,2017,2017,4,0,2,Export,170,Colombia,COL,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,32703,,294,,212664,,,0
H5,2017,2017,2017,4,0,2,Export,170,Colombia,COL,320,Guatemala,GTM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,130,,148,,29794,,,0
H5,2017,2017,2017,4,0,2,Export,170,Colombia,COL,340,Honduras,HND,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,332,,1276,,,0
H5,2017,2017,2017,4,0,2,Export,170,Colombia,COL,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1567,,562,,46098,,,0
H5,2017,2017,2017,4,0,2,Export,170,Colombia,COL,348,Hungary,HUN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,6,,16,,2601,,,0
H5,2017,2017,2017,4,0,2,Export,170,Colombia,COL,360,Indonesia,IDN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,0,,6358,,,0
H5,2017,2017,2017,4,0,2,Export,170,Colombia,COL,372,Ireland,IRL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,59,,198,,59519,,,0
H5,2017,2017,2017,4,0,2,Export,170,Colombia,COL,376,Israel,ISR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,17,,44,,13385,,,0
H5,2017,2017,2017,4,0,2,Export,170,Colombia,COL,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,120,,47,,3339,,,0
H5,2017,2017,2017,4,0,2,Export,170,Colombia,COL,384,Côte d'Ivoire,CIV,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,0,,5653,,,0
H5,2017,2017,2017,4,0,2,Export,170,Colombia,COL,410,Rep. of Korea,KOR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,24,,4,,5,,,0
H5,2017,2017,2017,4,0,2,Export,170,Colombia,COL,484,Mexico,MEX,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,205,,32,,50536,,,0
H5,2017,2017,2017,4,0,2,Export,170,Colombia,COL,528,Netherlands,NLD,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,17,,64,,6250,,,0
H5,2017,2017,2017,4,0,2,Export,170,Colombia,COL,558,Nicaragua,NIC,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,33,,4,,911,,,0
H5,2017,2017,2017,4,0,2,Export,170,Colombia,COL,591,Panama,PAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,205,,3553,,,0
H5,2017,2017,2017,4,0,2,Export,170,Colombia,COL,600,Paraguay,PRY,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,344,,57,,87462,,,0
H5,2017,2017,2017,4,0,2,Export,170,Colombia,COL,604,Peru,PER,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,649,,169,,37826,,,0
