Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,196,Cyprus,CYP,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,269,,166566,,,6
H5,2017,2017,2017,4,0,2,Export,196,Cyprus,CYP,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,113,,,2
H5,2017,2017,2017,4,0,2,Export,196,Cyprus,CYP,300,Greece,GRC,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,33,,14995,,,6
H5,2017,2017,2017,4,0,2,Export,196,Cyprus,CYP,376,Israel,ISR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,16,,35527,,,2
H5,2017,2017,2017,4,0,2,Export,196,Cyprus,CYP,490,"Other Asia, nes",,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,35,,1622,,,2
H5,2017,2017,2017,4,0,2,Export,196,Cyprus,CYP,528,Netherlands,NLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,48,,32138,,,6
H5,2017,2017,2017,4,0,2,Export,196,Cyprus,CYP,586,Pakistan,PAK,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,50,,50,,10367,,,0
H5,2017,2017,2017,4,0,2,Export,196,Cyprus,CYP,724,Spain,ESP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,73,,31303,,,2
H5,2017,2017,2017,4,0,2,Export,196,Cyprus,CYP,764,Thailand,THA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,7588,,,2
H5,2017,2017,2017,4,0,2,Export,196,Cyprus,CYP,826,United Kingdom,GBR,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,10,,10,,32909,,,0
