Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2017,2017,2017,4,0,2,Export,268,Georgia,GEO,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,6995,,111917,,,0
H4,2017,2017,2017,4,0,2,Export,268,Georgia,GEO,31,Azerbaijan,AZE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,16,,3,,4191,,,0
H4,2017,2017,2017,4,0,2,Export,268,Georgia,GEO,51,Armenia,ARM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,23,,13863,,,0
H4,2017,2017,2017,4,0,2,Export,268,Georgia,GEO,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,116,,23,,18,,,0
H4,2017,2017,2017,4,0,2,Export,268,Georgia,GEO,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,14,,111,,430,,,0
H4,2017,2017,2017,4,0,2,Export,268,Georgia,GEO,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,19,,22828,,,0
H4,2017,2017,2017,4,0,2,Export,268,Georgia,GEO,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,118,,84,,13122,,,0
H4,2017,2017,2017,4,0,2,Export,268,Georgia,GEO,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,15,,38,,20001,,,0
H4,2017,2017,2017,4,0,2,Export,268,Georgia,GEO,368,Iraq,IRQ,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,19,,0,,49,,,0
H4,2017,2017,2017,4,0,2,Export,268,Georgia,GEO,376,Israel,ISR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,4,,8,,16473,,,0
H4,2017,2017,2017,4,0,2,Export,268,Georgia,GEO,398,Kazakhstan,KAZ,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,12,,70,,2365,,,0
H4,2017,2017,2017,4,0,2,Export,268,Georgia,GEO,440,Lithuania,LTU,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,8,,0,,898,,,0
H4,2017,2017,2017,4,0,2,Export,268,Georgia,GEO,442,Luxembourg,LUX,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,0,,2586,,,0
H4,2017,2017,2017,4,0,2,Export,268,Georgia,GEO,498,Rep. of Moldova,MDA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,4,,39,,245,,,0
H4,2017,2017,2017,4,0,2,Export,268,Georgia,GEO,616,Poland,POL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,7,,56,,2146,,,0
H4,2017,2017,2017,4,0,2,Export,268,Georgia,GEO,643,Russian Federation,RUS,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,12,,2,,4323,,,0
H4,2017,2017,2017,4,0,2,Export,268,Georgia,GEO,699,India,IND,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,12,,20,,,0
H4,2017,2017,2017,4,0,2,Export,268,Georgia,GEO,752,Sweden,SWE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,7,,1,,395,,,0
H4,2017,2017,2017,4,0,2,Export,268,Georgia,GEO,784,United Arab Emirates,ARE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,16,,6,,22,,,0
H4,2017,2017,2017,4,0,2,Export,268,Georgia,GEO,795,Turkmenistan,TKM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,4,,2,,2157,,,0
H4,2017,2017,2017,4,0,2,Export,268,Georgia,GEO,826,United Kingdom,GBR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,67,,6491,,5780,,,0
