Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,428,Latvia,LVA,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,43330,,30289763,,,6
H5,2017,2017,2017,4,0,2,Export,428,Latvia,LVA,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4,,2388,,,6
H5,2017,2017,2017,4,0,2,Export,428,Latvia,LVA,51,Armenia,ARM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,161,,49481,,,6
H5,2017,2017,2017,4,0,2,Export,428,Latvia,LVA,68,Bolivia (Plurinational State of),BOL,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,0,,0,,9,,,6
H5,2017,2017,2017,4,0,2,Export,428,Latvia,LVA,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,264,,,6
H5,2017,2017,2017,4,0,2,Export,428,Latvia,LVA,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,92,,,2
H5,2017,2017,2017,4,0,2,Export,428,Latvia,LVA,112,Belarus,BLR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,6233,,2910907,,,6
H5,2017,2017,2017,4,0,2,Export,428,Latvia,LVA,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,513,,40710,,,6
H5,2017,2017,2017,4,0,2,Export,428,Latvia,LVA,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,6923,,11411461,,,6
H5,2017,2017,2017,4,0,2,Export,428,Latvia,LVA,196,Cyprus,CYP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7,,9050,,,2
H5,2017,2017,2017,4,0,2,Export,428,Latvia,LVA,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,86,,29697,,,6
H5,2017,2017,2017,4,0,2,Export,428,Latvia,LVA,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,41,,44529,,,6
H5,2017,2017,2017,4,0,2,Export,428,Latvia,LVA,233,Estonia,EST,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4519,,1697602,,,6
H5,2017,2017,2017,4,0,2,Export,428,Latvia,LVA,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,6,,3960,,,6
H5,2017,2017,2017,4,0,2,Export,428,Latvia,LVA,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,196,,79798,,,6
H5,2017,2017,2017,4,0,2,Export,428,Latvia,LVA,268,Georgia,GEO,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,64,,11578,,,2
H5,2017,2017,2017,4,0,2,Export,428,Latvia,LVA,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7,,12555,,,6
H5,2017,2017,2017,4,0,2,Export,428,Latvia,LVA,288,Ghana,GHA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,14,,1177,,,2
H5,2017,2017,2017,4,0,2,Export,428,Latvia,LVA,300,Greece,GRC,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7,,1164,,,2
H5,2017,2017,2017,4,0,2,Export,428,Latvia,LVA,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,346,,525727,,,6
H5,2017,2017,2017,4,0,2,Export,428,Latvia,LVA,348,Hungary,HUN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5,,2512,,,6
H5,2017,2017,2017,4,0,2,Export,428,Latvia,LVA,376,Israel,ISR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,11,,5865,,,6
H5,2017,2017,2017,4,0,2,Export,428,Latvia,LVA,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,1369,,,2
H5,2017,2017,2017,4,0,2,Export,428,Latvia,LVA,392,Japan,JPN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4,,2092,,,6
H5,2017,2017,2017,4,0,2,Export,428,Latvia,LVA,398,Kazakhstan,KAZ,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,61,,,6
H5,2017,2017,2017,4,0,2,Export,428,Latvia,LVA,410,Rep. of Korea,KOR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,17,,10181,,,6
H5,2017,2017,2017,4,0,2,Export,428,Latvia,LVA,417,Kyrgyzstan,KGZ,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,167,,,6
H5,2017,2017,2017,4,0,2,Export,428,Latvia,LVA,418,Lao People's Dem. Rep.,LAO,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,134,,69568,,,2
H5,2017,2017,2017,4,0,2,Export,428,Latvia,LVA,440,Lithuania,LTU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,13589,,3378203,,,6
H5,2017,2017,2017,4,0,2,Export,428,Latvia,LVA,490,"Other Asia, nes",,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,54,,546627,,,6
H5,2017,2017,2017,4,0,2,Export,428,Latvia,LVA,498,Rep. of Moldova,MDA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,650,,158117,,,6
H5,2017,2017,2017,4,0,2,Export,428,Latvia,LVA,504,Morocco,MAR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,640,,,6
H5,2017,2017,2017,4,0,2,Export,428,Latvia,LVA,528,Netherlands,NLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,286,,163966,,,6
H5,2017,2017,2017,4,0,2,Export,428,Latvia,LVA,579,Norway,NOR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,526,,799950,,,6
H5,2017,2017,2017,4,0,2,Export,428,Latvia,LVA,604,Peru,PER,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,0,,0,,18,,,6
H5,2017,2017,2017,4,0,2,Export,428,Latvia,LVA,608,Philippines,PHL,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,0,,0,,41,,,6
