Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,442,Luxembourg,LUX,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,10819,,5613880,,,0
H5,2017,2017,2017,4,0,2,Export,442,Luxembourg,LUX,4,Afghanistan,AFG,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,2,,2,,2071,,,0
H5,2017,2017,2017,4,0,2,Export,442,Luxembourg,LUX,12,Algeria,DZA,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,32,,32,,15550,,,0
H5,2017,2017,2017,4,0,2,Export,442,Luxembourg,LUX,31,Azerbaijan,AZE,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,1,,1,,609,,,0
H5,2017,2017,2017,4,0,2,Export,442,Luxembourg,LUX,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,85,,85,,40089,,,0
H5,2017,2017,2017,4,0,2,Export,442,Luxembourg,LUX,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,183,,83065,,,0
H5,2017,2017,2017,4,0,2,Export,442,Luxembourg,LUX,50,Bangladesh,BGD,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,88,,88,,19862,,,0
H5,2017,2017,2017,4,0,2,Export,442,Luxembourg,LUX,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,603,,408957,,,0
H5,2017,2017,2017,4,0,2,Export,442,Luxembourg,LUX,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,44,,44,,20085,,,0
H5,2017,2017,2017,4,0,2,Export,442,Luxembourg,LUX,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,20,,7661,,,0
