Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,516,Namibia,NAM,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7267,,41419,,,2
H5,2017,2017,2017,4,0,2,Export,516,Namibia,NAM,24,Angola,AGO,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,4879,,4879,,26632,,,0
H5,2017,2017,2017,4,0,2,Export,516,Namibia,NAM,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,0,,0,,30,,,0
H5,2017,2017,2017,4,0,2,Export,516,Namibia,NAM,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,0,,0,,3,,,0
H5,2017,2017,2017,4,0,2,Export,516,Namibia,NAM,490,"Other Asia, nes",,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,28,,28,,50,,,0
H5,2017,2017,2017,4,0,2,Export,516,Namibia,NAM,528,Netherlands,NLD,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,1,,1,,10,,,0
H5,2017,2017,2017,4,0,2,Export,516,Namibia,NAM,699,India,IND,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,0,,0,,56,,,0
H5,2017,2017,2017,4,0,2,Export,516,Namibia,NAM,710,South Africa,ZAF,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2355,,14518,,,2
H5,2017,2017,2017,4,0,2,Export,516,Namibia,NAM,757,Switzerland,CHE,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,0,,0,,113,,,0
H5,2017,2017,2017,4,0,2,Export,516,Namibia,NAM,826,United Kingdom,GBR,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,0,,0,,3,,,0
H5,2017,2017,2017,4,0,2,Export,516,Namibia,NAM,842,USA,USA,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,0,,0,,1,,,0
