Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,32705,,53527881,,,6
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,12,Algeria,DZA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,68,,6,,17231,,,4
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,31,Azerbaijan,AZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,1623,,,6
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,185965,,428,,649626,,,4
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,51,Armenia,ARM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,4136,,99,,32588,,,4
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,0,,59,,,4
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,70,Bosnia Herzegovina,BIH,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,5,,0,,84,,,4
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,2,,3815,,,4
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,17708,,53,,77001,,,4
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,104,Myanmar,MMR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,32,,0,,1550,,,4
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,112,Belarus,BLR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,19895,,22692862,,,6
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,1,,1000,,,0
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,310372325,,1303,,5359077,,,4
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,0,,71,,,4
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,192,Cuba,CUB,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1546,,8,,10819,,,4
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,42691,,194,,131662,,,4
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,233,Estonia,EST,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,926,,1,,8998,,,0
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,738,,1532898,,,4
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,195222,,100,,267703,,,4
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,268,Georgia,GEO,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,64,,0,,255,,,4
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,6639,,153,,352207,,,4
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,283091032,,1751,,5667501,,,4
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,348,Hungary,HUN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3438,,19,,10751,,,4
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,1,,1677,,,4
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,112,,19,,30207,,,4
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,392,Japan,JPN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,300,,125,,18000,,,0
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,398,Kazakhstan,KAZ,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1723,,1229204,,,6
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,410,Rep. of Korea,KOR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,55020403,,624,,2400773,,,4
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,417,Kyrgyzstan,KGZ,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3463,,48,,23739,,,4
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,428,Latvia,LVA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,865,,947456,,,4
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,440,Lithuania,LTU,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,52,,2,,11123,,,4
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,484,Mexico,MEX,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,11246,,3,,7932,,,0
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,490,"Other Asia, nes",,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,193168511,,1117,,5134403,,,0
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,496,Mongolia,MNG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,260,,0,,286,,,4
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,498,Rep. of Moldova,MDA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,19396,,198,,328371,,,4
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,528,Netherlands,NLD,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1822,,450,,1326946,,,4
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,554,New Zealand,NZL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,32,,0,,104,,,4
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,579,Norway,NOR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,0,,1020,,,4
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,586,Pakistan,PAK,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,0,,149,,,4
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,616,Poland,POL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,789307,,499,,406478,,,4
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,634,Qatar,QAT,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,7,,1700,,,0
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,682,Saudi Arabia,SAU,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,4,,15,,23931,,,4
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,688,Serbia,SRB,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,295,,0,,1167,,,4
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,699,India,IND,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,22896,,266,,3616651,,,4
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,702,Singapore,SGP,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,63527,,12,,21814,,,4
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,703,Slovakia,SVK,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,380,,2,,2182,,,4
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,704,Viet Nam,VNM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,64763,,107,,100848,,,4
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,724,Spain,ESP,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2535,,2,,8872,,,4
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,757,Switzerland,CHE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1002,,8,,10226,,,4
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,762,Tajikistan,TJK,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3,,0,,237,,,4
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,764,Thailand,THA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,6,,0,,115,,,4
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,784,United Arab Emirates,ARE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,90,,11,,2029,,,4
