Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,807,TFYR of Macedonia,MKD,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,339,,90889,,,6
H5,2017,2017,2017,4,0,2,Export,807,TFYR of Macedonia,MKD,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,251,,,6
H5,2017,2017,2017,4,0,2,Export,807,TFYR of Macedonia,MKD,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,814,,,6
H5,2017,2017,2017,4,0,2,Export,807,TFYR of Macedonia,MKD,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,149,,34,,2274,,,0
H5,2017,2017,2017,4,0,2,Export,807,TFYR of Macedonia,MKD,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,111,,57907,,,6
H5,2017,2017,2017,4,0,2,Export,807,TFYR of Macedonia,MKD,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,55,,1829,,,0
H5,2017,2017,2017,4,0,2,Export,807,TFYR of Macedonia,MKD,348,Hungary,HUN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,1,,,4
H5,2017,2017,2017,4,0,2,Export,807,TFYR of Macedonia,MKD,528,Netherlands,NLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,8,,1951,,,4
H5,2017,2017,2017,4,0,2,Export,807,TFYR of Macedonia,MKD,616,Poland,POL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,194,,,4
H5,2017,2017,2017,4,0,2,Export,807,TFYR of Macedonia,MKD,642,Romania,ROU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,26,,10403,,,4
H5,2017,2017,2017,4,0,2,Export,807,TFYR of Macedonia,MKD,643,Russian Federation,RUS,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,94,,1,,2601,,,2
H5,2017,2017,2017,4,0,2,Export,807,TFYR of Macedonia,MKD,688,Serbia,SRB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,91,,10849,,,4
H5,2017,2017,2017,4,0,2,Export,807,TFYR of Macedonia,MKD,703,Slovakia,SVK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,27,,,4
H5,2017,2017,2017,4,0,2,Export,807,TFYR of Macedonia,MKD,826,United Kingdom,GBR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,13,,,4
H5,2017,2017,2017,4,0,2,Export,807,TFYR of Macedonia,MKD,842,USA,USA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7,,1768,,,4
