Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,38127555354,,,6
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,4,Afghanistan,AFG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,484469,,,6
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,8,Albania,ALB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,16117,,,6
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,12,Algeria,DZA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,1133414,,,6
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,24,Angola,AGO,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,11615,,,6
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,28,Antigua and Barbuda,ATG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,46538,,,6
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,58443380,,,6
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,67260655,,,6
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,11670214,,,6
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,44,Bahamas,BHS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,561842,,,6
