Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2017,2017,2017,4,0,1,Import,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1028,,1779106,,,2
H4,2017,2017,2017,4,0,1,Import,31,Azerbaijan,AZE,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,1,,39568,,,0
H4,2017,2017,2017,4,0,1,Import,31,Azerbaijan,AZE,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,20,,0,,337,,,0
H4,2017,2017,2017,4,0,1,Import,31,Azerbaijan,AZE,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,2,,9126,,,0
H4,2017,2017,2017,4,0,1,Import,31,Azerbaijan,AZE,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,693,,286543,,,0
H4,2017,2017,2017,4,0,1,Import,31,Azerbaijan,AZE,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7,,396681,,,0
H4,2017,2017,2017,4,0,1,Import,31,Azerbaijan,AZE,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,0,,60,,,0
H4,2017,2017,2017,4,0,1,Import,31,Azerbaijan,AZE,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,61722,,17,,166022,,,2
H4,2017,2017,2017,4,0,1,Import,31,Azerbaijan,AZE,360,Indonesia,IDN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,5,,0,,32287,,,0
H4,2017,2017,2017,4,0,1,Import,31,Azerbaijan,AZE,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,13,,216654,,,2
H4,2017,2017,2017,4,0,1,Import,31,Azerbaijan,AZE,392,Japan,JPN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,7947,,,0
H4,2017,2017,2017,4,0,1,Import,31,Azerbaijan,AZE,410,Rep. of Korea,KOR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,156,,49,,37482,,,0
H4,2017,2017,2017,4,0,1,Import,31,Azerbaijan,AZE,484,Mexico,MEX,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,20,,1,,1963,,,0
H4,2017,2017,2017,4,0,1,Import,31,Azerbaijan,AZE,490,"Other Asia, nes",,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,126,,2,,1429,,,0
H4,2017,2017,2017,4,0,1,Import,31,Azerbaijan,AZE,528,Netherlands,NLD,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,6,,90,,5342,,,0
H4,2017,2017,2017,4,0,1,Import,31,Azerbaijan,AZE,579,Norway,NOR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,18,,1049,,,0
H4,2017,2017,2017,4,0,1,Import,31,Azerbaijan,AZE,608,Philippines,PHL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,1,,993,,,0
H4,2017,2017,2017,4,0,1,Import,31,Azerbaijan,AZE,620,Portugal,PRT,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,0,,315,,,0
H4,2017,2017,2017,4,0,1,Import,31,Azerbaijan,AZE,642,Romania,ROU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,16291,,,2
H4,2017,2017,2017,4,0,1,Import,31,Azerbaijan,AZE,643,Russian Federation,RUS,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,5,,14,,16546,,,0
H4,2017,2017,2017,4,0,1,Import,31,Azerbaijan,AZE,702,Singapore,SGP,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,4,,1,,20463,,,0
H4,2017,2017,2017,4,0,1,Import,31,Azerbaijan,AZE,705,Slovenia,SVN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,50,,1,,6,,,0
H4,2017,2017,2017,4,0,1,Import,31,Azerbaijan,AZE,752,Sweden,SWE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,5,,2,,9834,,,0
H4,2017,2017,2017,4,0,1,Import,31,Azerbaijan,AZE,757,Switzerland,CHE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,134,,3,,13347,,,2
H4,2017,2017,2017,4,0,1,Import,31,Azerbaijan,AZE,764,Thailand,THA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,1,,11906,,,0
H4,2017,2017,2017,4,0,1,Import,31,Azerbaijan,AZE,792,Turkey,TUR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,39756,,,0
H4,2017,2017,2017,4,0,1,Import,31,Azerbaijan,AZE,804,Ukraine,UKR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2390,,2,,8862,,,0
H4,2017,2017,2017,4,0,1,Import,31,Azerbaijan,AZE,826,United Kingdom,GBR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3,,3,,6648,,,0
H4,2017,2017,2017,4,0,1,Import,31,Azerbaijan,AZE,842,USA,USA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,99,,431636,,,2
