Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,16231,,2828018,,,2
H5,2017,2017,2017,4,0,1,Import,70,Bosnia Herzegovina,BIH,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4,,217,,,2
H5,2017,2017,2017,4,0,1,Import,70,Bosnia Herzegovina,BIH,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,217,,17569,,,2
H5,2017,2017,2017,4,0,1,Import,70,Bosnia Herzegovina,BIH,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,6,,1218,,,2
H5,2017,2017,2017,4,0,1,Import,70,Bosnia Herzegovina,BIH,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,454,,27000,,,2
H5,2017,2017,2017,4,0,1,Import,70,Bosnia Herzegovina,BIH,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,842,,,2
H5,2017,2017,2017,4,0,1,Import,70,Bosnia Herzegovina,BIH,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4517,,855156,,,2
H5,2017,2017,2017,4,0,1,Import,70,Bosnia Herzegovina,BIH,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,18,,16122,,,2
H5,2017,2017,2017,4,0,1,Import,70,Bosnia Herzegovina,BIH,191,Croatia,HRV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,154,,21574,,,2
H5,2017,2017,2017,4,0,1,Import,70,Bosnia Herzegovina,BIH,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,303,,109162,,,2
H5,2017,2017,2017,4,0,1,Import,70,Bosnia Herzegovina,BIH,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,10,,1259,,,2
H5,2017,2017,2017,4,0,1,Import,70,Bosnia Herzegovina,BIH,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,666,,3121,,,2
H5,2017,2017,2017,4,0,1,Import,70,Bosnia Herzegovina,BIH,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,6679,,881527,,,2
