Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,214,Dominican Rep.,DOM,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,77488176,,,6
H5,2017,2017,2017,4,0,1,Import,214,Dominican Rep.,DOM,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,20825,,,6
H5,2017,2017,2017,4,0,1,Import,214,Dominican Rep.,DOM,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,1105,,,6
H5,2017,2017,2017,4,0,1,Import,214,Dominican Rep.,DOM,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,6724,,,6
H5,2017,2017,2017,4,0,1,Import,214,Dominican Rep.,DOM,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,14804,,,6
H5,2017,2017,2017,4,0,1,Import,214,Dominican Rep.,DOM,92,Br. Virgin Isds,VGB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,276,,,6
H5,2017,2017,2017,4,0,1,Import,214,Dominican Rep.,DOM,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,2767,,,6
H5,2017,2017,2017,4,0,1,Import,214,Dominican Rep.,DOM,104,Myanmar,MMR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,807,,,6
H5,2017,2017,2017,4,0,1,Import,214,Dominican Rep.,DOM,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,61478,,,6
H5,2017,2017,2017,4,0,1,Import,214,Dominican Rep.,DOM,132,Cabo Verde,CPV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,1443,,,6
H5,2017,2017,2017,4,0,1,Import,214,Dominican Rep.,DOM,148,Chad,TCD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,230,,,6
H5,2017,2017,2017,4,0,1,Import,214,Dominican Rep.,DOM,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,118,,,6
H5,2017,2017,2017,4,0,1,Import,214,Dominican Rep.,DOM,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,20678454,,,6
H5,2017,2017,2017,4,0,1,Import,214,Dominican Rep.,DOM,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,3207,,,6
H5,2017,2017,2017,4,0,1,Import,214,Dominican Rep.,DOM,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,13048,,,6
H5,2017,2017,2017,4,0,1,Import,214,Dominican Rep.,DOM,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,20319,,,6
H5,2017,2017,2017,4,0,1,Import,214,Dominican Rep.,DOM,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,771,,,6
