Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,251,France,FRA,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,15341754,,4078118334,,,6
H5,2017,2017,2017,4,0,1,Import,251,France,FRA,8,Albania,ALB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,8,,154,,,2
H5,2017,2017,2017,4,0,1,Import,251,France,FRA,12,Algeria,DZA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4871,,218270,,,2
H5,2017,2017,2017,4,0,1,Import,251,France,FRA,20,Andorra,AND,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,50,,33314,,,2
H5,2017,2017,2017,4,0,1,Import,251,France,FRA,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,6,,4438,,,6
H5,2017,2017,2017,4,0,1,Import,251,France,FRA,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,365,,321074,,,6
H5,2017,2017,2017,4,0,1,Import,251,France,FRA,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,8590,,15861833,,,6
H5,2017,2017,2017,4,0,1,Import,251,France,FRA,51,Armenia,ARM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,737,,,2
H5,2017,2017,2017,4,0,1,Import,251,France,FRA,52,Barbados,BRB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,307,,,2
H5,2017,2017,2017,4,0,1,Import,251,France,FRA,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,71301,,17607329,,,2
H5,2017,2017,2017,4,0,1,Import,251,France,FRA,60,Bermuda,BMU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,121,,,2
H5,2017,2017,2017,4,0,1,Import,251,France,FRA,70,Bosnia Herzegovina,BIH,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,14,,1220,,,6
H5,2017,2017,2017,4,0,1,Import,251,France,FRA,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1070,,516585,,,6
H5,2017,2017,2017,4,0,1,Import,251,France,FRA,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5876,,1540318,,,2
H5,2017,2017,2017,4,0,1,Import,251,France,FRA,104,Myanmar,MMR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,297,,,6
H5,2017,2017,2017,4,0,1,Import,251,France,FRA,112,Belarus,BLR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,4795,,,2
H5,2017,2017,2017,4,0,1,Import,251,France,FRA,120,Cameroon,CMR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5,,4768,,,6
H5,2017,2017,2017,4,0,1,Import,251,France,FRA,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,19035,,4428965,,,6
H5,2017,2017,2017,4,0,1,Import,251,France,FRA,144,Sri Lanka,LKA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,111,,72675,,,2
H5,2017,2017,2017,4,0,1,Import,251,France,FRA,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,407,,,6
