Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,428,Latvia,LVA,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,140171,,103914841,,,6
H5,2017,2017,2017,4,0,1,Import,428,Latvia,LVA,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,4,,4,,1156,,,0
H5,2017,2017,2017,4,0,1,Import,428,Latvia,LVA,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,178,,170544,,,6
H5,2017,2017,2017,4,0,1,Import,428,Latvia,LVA,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,10136,,2067428,,,6
H5,2017,2017,2017,4,0,1,Import,428,Latvia,LVA,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,263,,,6
H5,2017,2017,2017,4,0,1,Import,428,Latvia,LVA,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7,,2946,,,6
H5,2017,2017,2017,4,0,1,Import,428,Latvia,LVA,112,Belarus,BLR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,59,,230904,,,6
H5,2017,2017,2017,4,0,1,Import,428,Latvia,LVA,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,10,,,6
H5,2017,2017,2017,4,0,1,Import,428,Latvia,LVA,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,8031,,12059185,,,6
H5,2017,2017,2017,4,0,1,Import,428,Latvia,LVA,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3921,,2782591,,,6
