Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,729,Sudan,SDN,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,155626,,,6
H5,2017,2017,2017,4,0,1,Import,729,Sudan,SDN,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,13,,13849,,,6
H5,2017,2017,2017,4,0,1,Import,729,Sudan,SDN,218,Ecuador,ECU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,3588,,,6
H5,2017,2017,2017,4,0,1,Import,729,Sudan,SDN,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,2002,,,6
H5,2017,2017,2017,4,0,1,Import,729,Sudan,SDN,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,4394,,,6
H5,2017,2017,2017,4,0,1,Import,729,Sudan,SDN,434,Libya,LBY,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,2400,,,6
H5,2017,2017,2017,4,0,1,Import,729,Sudan,SDN,682,Saudi Arabia,SAU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,660,,,6
H5,2017,2017,2017,4,0,1,Import,729,Sudan,SDN,699,India,IND,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,136,,,6
H5,2017,2017,2017,4,0,1,Import,729,Sudan,SDN,784,United Arab Emirates,ARE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,135,,99429,,,6
H5,2017,2017,2017,4,0,1,Import,729,Sudan,SDN,818,Egypt,EGY,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5,,4282,,,6
H5,2017,2017,2017,4,0,1,Import,729,Sudan,SDN,899,"Areas, nes",,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,27,,24886,,,6
