Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,834,United Rep. of Tanzania,TZA,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,199841,,6770163,,,6
H5,2017,2017,2017,4,0,1,Import,834,United Rep. of Tanzania,TZA,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,75,,46106,,,2
H5,2017,2017,2017,4,0,1,Import,834,United Rep. of Tanzania,TZA,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5,,11,,,2
H5,2017,2017,2017,4,0,1,Import,834,United Rep. of Tanzania,TZA,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,11,,11,,1139,,,0
H5,2017,2017,2017,4,0,1,Import,834,United Rep. of Tanzania,TZA,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,8,,151,,,2
H5,2017,2017,2017,4,0,1,Import,834,United Rep. of Tanzania,TZA,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,726,,,2
H5,2017,2017,2017,4,0,1,Import,834,United Rep. of Tanzania,TZA,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,86,,2136,,,2
H5,2017,2017,2017,4,0,1,Import,834,United Rep. of Tanzania,TZA,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,60304,,985361,,,6
H5,2017,2017,2017,4,0,1,Import,834,United Rep. of Tanzania,TZA,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7,,4007,,,2
H5,2017,2017,2017,4,0,1,Import,834,United Rep. of Tanzania,TZA,196,Cyprus,CYP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,9,,286,,,2
H5,2017,2017,2017,4,0,1,Import,834,United Rep. of Tanzania,TZA,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,120,,161325,,,2
H5,2017,2017,2017,4,0,1,Import,834,United Rep. of Tanzania,TZA,233,Estonia,EST,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,26,,6954,,,2
H5,2017,2017,2017,4,0,1,Import,834,United Rep. of Tanzania,TZA,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,10,,,2
H5,2017,2017,2017,4,0,1,Import,834,United Rep. of Tanzania,TZA,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,23820,,871577,,,2
H5,2017,2017,2017,4,0,1,Import,834,United Rep. of Tanzania,TZA,266,Gabon,GAB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,10,,95,,,2
H5,2017,2017,2017,4,0,1,Import,834,United Rep. of Tanzania,TZA,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,11408,,425921,,,2
H5,2017,2017,2017,4,0,1,Import,834,United Rep. of Tanzania,TZA,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2700,,95319,,,2
H5,2017,2017,2017,4,0,1,Import,834,United Rep. of Tanzania,TZA,376,Israel,ISR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,136,,,2
H5,2017,2017,2017,4,0,1,Import,834,United Rep. of Tanzania,TZA,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,192,,84983,,,2
H5,2017,2017,2017,4,0,1,Import,834,United Rep. of Tanzania,TZA,392,Japan,JPN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,103,,4547,,,2
H5,2017,2017,2017,4,0,1,Import,834,United Rep. of Tanzania,TZA,404,Kenya,KEN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,49,,,2
H5,2017,2017,2017,4,0,1,Import,834,United Rep. of Tanzania,TZA,410,Rep. of Korea,KOR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1803,,3162,,,2
H5,2017,2017,2017,4,0,1,Import,834,United Rep. of Tanzania,TZA,442,Luxembourg,LUX,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,28,,2461,,,6
H5,2017,2017,2017,4,0,1,Import,834,United Rep. of Tanzania,TZA,458,Malaysia,MYS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,43,,10273,,,2
H5,2017,2017,2017,4,0,1,Import,834,United Rep. of Tanzania,TZA,478,Mauritania,MRT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,2500,,,2
H5,2017,2017,2017,4,0,1,Import,834,United Rep. of Tanzania,TZA,480,Mauritius,MUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,6,,734,,,2
H5,2017,2017,2017,4,0,1,Import,834,United Rep. of Tanzania,TZA,490,"Other Asia, nes",,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,50,,2771,,,2
H5,2017,2017,2017,4,0,1,Import,834,United Rep. of Tanzania,TZA,508,Mozambique,MOZ,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,20,,22,,,2
H5,2017,2017,2017,4,0,1,Import,834,United Rep. of Tanzania,TZA,528,Netherlands,NLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,56,,7189,,,2
H5,2017,2017,2017,4,0,1,Import,834,United Rep. of Tanzania,TZA,566,Nigeria,NGA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,140,,,2
H5,2017,2017,2017,4,0,1,Import,834,United Rep. of Tanzania,TZA,608,Philippines,PHL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,10,,458,,,2
H5,2017,2017,2017,4,0,1,Import,834,United Rep. of Tanzania,TZA,616,Poland,POL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,2,,,2
H5,2017,2017,2017,4,0,1,Import,834,United Rep. of Tanzania,TZA,682,Saudi Arabia,SAU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,133,,37,,,2
H5,2017,2017,2017,4,0,1,Import,834,United Rep. of Tanzania,TZA,699,India,IND,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,29013,,984514,,,6
H5,2017,2017,2017,4,0,1,Import,834,United Rep. of Tanzania,TZA,704,Viet Nam,VNM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,10,,1562,,,2
H5,2017,2017,2017,4,0,1,Import,834,United Rep. of Tanzania,TZA,710,South Africa,ZAF,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,32651,,1103192,,,2
H5,2017,2017,2017,4,0,1,Import,834,United Rep. of Tanzania,TZA,724,Spain,ESP,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,38,,38,,7809,,,0
H5,2017,2017,2017,4,0,1,Import,834,United Rep. of Tanzania,TZA,752,Sweden,SWE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,172,,6494,,,2
H5,2017,2017,2017,4,0,1,Import,834,United Rep. of Tanzania,TZA,757,Switzerland,CHE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,18,,542,,,6
H5,2017,2017,2017,4,0,1,Import,834,United Rep. of Tanzania,TZA,764,Thailand,THA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,24129,,1777158,,,2
H5,2017,2017,2017,4,0,1,Import,834,United Rep. of Tanzania,TZA,784,United Arab Emirates,ARE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1422,,23747,,,6
H5,2017,2017,2017,4,0,1,Import,834,United Rep. of Tanzania,TZA,792,Turkey,TUR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,88,,2527,,,6
H5,2017,2017,2017,4,0,1,Import,834,United Rep. of Tanzania,TZA,818,Egypt,EGY,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7631,,84940,,,2
H5,2017,2017,2017,4,0,1,Import,834,United Rep. of Tanzania,TZA,826,United Kingdom,GBR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2151,,29046,,,2
H5,2017,2017,2017,4,0,1,Import,834,United Rep. of Tanzania,TZA,842,USA,USA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1468,,28044,,,2
