Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,858,Uruguay,URY,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,16709,,2218211,,,0
H5,2017,2017,2017,4,0,1,Import,858,Uruguay,URY,16,American Samoa,ASM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,35,,3537,,,0
H5,2017,2017,2017,4,0,1,Import,858,Uruguay,URY,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,45,,10,,2269,,,0
H5,2017,2017,2017,4,0,1,Import,858,Uruguay,URY,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,16,,17,,4874,,,0
H5,2017,2017,2017,4,0,1,Import,858,Uruguay,URY,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,55,,3,,770,,,0
H5,2017,2017,2017,4,0,1,Import,858,Uruguay,URY,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,34534,,1001,,79461,,,0
H5,2017,2017,2017,4,0,1,Import,858,Uruguay,URY,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,5029,,17,,12401,,,0
H5,2017,2017,2017,4,0,1,Import,858,Uruguay,URY,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,5,,65,,2194,,,0
H5,2017,2017,2017,4,0,1,Import,858,Uruguay,URY,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3354,,368912,,,0
H5,2017,2017,2017,4,0,1,Import,858,Uruguay,URY,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,2,,2225,,,0
H5,2017,2017,2017,4,0,1,Import,858,Uruguay,URY,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,165,,3,,391,,,0
H5,2017,2017,2017,4,0,1,Import,858,Uruguay,URY,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,4,,41,,3797,,,0
H5,2017,2017,2017,4,0,1,Import,858,Uruguay,URY,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,10,,169,,9433,,,0
H5,2017,2017,2017,4,0,1,Import,858,Uruguay,URY,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,463,,60515,,,0
H5,2017,2017,2017,4,0,1,Import,858,Uruguay,URY,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,239501,,6387,,269507,,,0
H5,2017,2017,2017,4,0,1,Import,858,Uruguay,URY,360,Indonesia,IDN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,4110,,6,,5457,,,0
H5,2017,2017,2017,4,0,1,Import,858,Uruguay,URY,376,Israel,ISR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,277,,20,,7134,,,0
H5,2017,2017,2017,4,0,1,Import,858,Uruguay,URY,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1221,,726,,49757,,,0
H5,2017,2017,2017,4,0,1,Import,858,Uruguay,URY,392,Japan,JPN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,11,,4594,,,0
H5,2017,2017,2017,4,0,1,Import,858,Uruguay,URY,408,Dem. People's Rep. of Korea,PRK,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3,,0,,443,,,0
H5,2017,2017,2017,4,0,1,Import,858,Uruguay,URY,410,Rep. of Korea,KOR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,11583,,42,,104171,,,0
H5,2017,2017,2017,4,0,1,Import,858,Uruguay,URY,458,Malaysia,MYS,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,49519,,144,,108750,,,0
H5,2017,2017,2017,4,0,1,Import,858,Uruguay,URY,470,Malta,MLT,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,5280,,4,,7727,,,0
H5,2017,2017,2017,4,0,1,Import,858,Uruguay,URY,484,Mexico,MEX,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,758,,583,,109261,,,0
H5,2017,2017,2017,4,0,1,Import,858,Uruguay,URY,490,"Other Asia, nes",,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,50672,,271,,220498,,,0
H5,2017,2017,2017,4,0,1,Import,858,Uruguay,URY,504,Morocco,MAR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,10,,0,,20,,,0
H5,2017,2017,2017,4,0,1,Import,858,Uruguay,URY,591,Panama,PAN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,106,,0,,129,,,0
H5,2017,2017,2017,4,0,1,Import,858,Uruguay,URY,608,Philippines,PHL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,22851,,46,,61239,,,0
H5,2017,2017,2017,4,0,1,Import,858,Uruguay,URY,616,Poland,POL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,0,,491,,,0
H5,2017,2017,2017,4,0,1,Import,858,Uruguay,URY,674,San Marino,SMR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,9,,3679,,,0
H5,2017,2017,2017,4,0,1,Import,858,Uruguay,URY,699,India,IND,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,29,,33,,11434,,,0
H5,2017,2017,2017,4,0,1,Import,858,Uruguay,URY,702,Singapore,SGP,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,64,,1,,602,,,0
H5,2017,2017,2017,4,0,1,Import,858,Uruguay,URY,703,Slovakia,SVK,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,16003,,472,,24684,,,0
H5,2017,2017,2017,4,0,1,Import,858,Uruguay,URY,710,South Africa,ZAF,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,1,,9,,,0
H5,2017,2017,2017,4,0,1,Import,858,Uruguay,URY,724,Spain,ESP,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,959,,489,,76028,,,0
H5,2017,2017,2017,4,0,1,Import,858,Uruguay,URY,752,Sweden,SWE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,12,,68,,9136,,,0
H5,2017,2017,2017,4,0,1,Import,858,Uruguay,URY,757,Switzerland,CHE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2020,,71,,7057,,,0
H5,2017,2017,2017,4,0,1,Import,858,Uruguay,URY,764,Thailand,THA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,73332,,428,,57961,,,0
H5,2017,2017,2017,4,0,1,Import,858,Uruguay,URY,826,United Kingdom,GBR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1717,,47,,109085,,,0
H5,2017,2017,2017,4,0,1,Import,858,Uruguay,URY,838,Free Zones,,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,60,,3,,168,,,0
H5,2017,2017,2017,4,0,1,Import,858,Uruguay,URY,842,USA,USA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1647,,418391,,,0
